step,epoch,tokens_seen,loss,learning_rate,time_per_step,gpu_memory_gb
98300,1,6442188800,2.836589,1.64e-04,3.058,18.42
98400,1,6448742400,2.809350,1.64e-04,3.058,18.42
98500,1,6455296000,3.006425,1.64e-04,3.057,18.42
98600,1,6461849600,2.623258,1.63e-04,3.058,18.42
98700,1,6468403200,2.715970,1.63e-04,3.059,18.42
98800,1,6474956800,3.295603,1.63e-04,3.057,18.42
98900,1,6481510400,3.519539,1.63e-04,3.059,18.42
99000,1,6488064000,2.781783,1.63e-04,3.060,18.42
99100,1,6494617600,3.254108,1.62e-04,3.058,18.42
99200,1,6501171200,2.693643,1.62e-04,3.058,18.42
99300,1,6507724800,3.136568,1.62e-04,3.058,18.42
99400,1,6514278400,3.311008,1.62e-04,3.057,18.42
99500,1,6520832000,3.103718,1.61e-04,3.059,18.42
99600,1,6527385600,2.982191,1.61e-04,3.058,18.42
99700,1,6533939200,2.706550,1.61e-04,3.058,18.42
99800,1,6540492800,2.978103,1.61e-04,3.058,18.42
99900,1,6547046400,2.487733,1.60e-04,3.058,18.42
100000,1,6553600000,2.634775,1.60e-04,3.057,18.42
100100,1,6560153600,2.457829,1.60e-04,3.311,18.42
100200,1,6566707200,3.099962,1.60e-04,3.058,18.42
100300,1,6573260800,2.986946,1.60e-04,3.058,18.42
100400,1,6579814400,2.826617,1.59e-04,3.058,18.42
100500,1,6586368000,3.126897,1.59e-04,3.059,18.42
100600,1,6592921600,3.311025,1.59e-04,3.058,18.42
100700,1,6599475200,3.207866,1.59e-04,3.059,18.42
100800,1,6606028800,2.624610,1.58e-04,3.059,18.42
100900,1,6612582400,2.738062,1.58e-04,3.059,18.42
101000,1,6619136000,2.970816,1.58e-04,3.058,18.42
101100,1,6625689600,2.521613,1.58e-04,3.057,18.42
101200,1,6632243200,3.108130,1.57e-04,3.057,18.42
101300,1,6638796800,2.788095,1.57e-04,3.058,18.42
101400,1,6645350400,3.235313,1.57e-04,3.058,18.42
101500,1,6651904000,3.005711,1.57e-04,3.058,18.42
101600,1,6658457600,2.760963,1.57e-04,3.058,18.42
101700,1,6665011200,3.028402,1.56e-04,3.059,18.42
101800,1,6671564800,2.636257,1.56e-04,3.059,18.42
101900,1,6678118400,3.166180,1.56e-04,3.058,18.42
102000,1,6684672000,2.678209,1.56e-04,3.058,18.42
102100,1,6691225600,3.080542,1.55e-04,3.058,18.42
102200,1,6697779200,2.809932,1.55e-04,3.058,18.42
102300,1,6704332800,3.400999,1.55e-04,3.057,18.42
102400,1,6710886400,2.672284,1.55e-04,3.058,18.42
102500,1,6717440000,2.662009,1.55e-04,3.058,18.42
102600,1,6723993600,2.716024,1.54e-04,3.058,18.42
102700,1,6730547200,3.684959,1.54e-04,3.058,18.42
102800,1,6737100800,2.644370,1.54e-04,3.058,18.42
102900,1,6743654400,3.544046,1.54e-04,3.058,18.42
103000,1,6750208000,2.755771,1.53e-04,3.058,18.42
103100,1,6756761600,2.639961,1.53e-04,3.058,18.42
103200,1,6763315200,2.500599,1.53e-04,3.058,18.42
103300,1,6769868800,2.926471,1.53e-04,3.058,18.42
103400,1,6776422400,3.076327,1.52e-04,3.059,18.42
103500,1,6782976000,2.660275,1.52e-04,3.059,18.42
103600,1,6789529600,3.160469,1.52e-04,3.059,18.42
103700,1,6796083200,2.370818,1.52e-04,3.058,18.42
103800,1,6802636800,2.870877,1.52e-04,3.058,18.42
103900,1,6809190400,2.999347,1.51e-04,3.058,18.42
104000,1,6815744000,2.890859,1.51e-04,3.058,18.42
104100,1,6822297600,3.068136,1.51e-04,3.058,18.42
104200,1,6828851200,3.145920,1.51e-04,3.058,18.42
104300,1,6835404800,2.778270,1.50e-04,3.057,18.42
104400,1,6841958400,2.673900,1.50e-04,3.058,18.42
104500,1,6848512000,2.890394,1.50e-04,3.058,18.42
104600,1,6855065600,2.836427,1.50e-04,3.058,18.42
104700,1,6861619200,2.995475,1.49e-04,3.057,18.42
104800,1,6868172800,2.975921,1.49e-04,3.058,18.42
104900,1,6874726400,2.917120,1.49e-04,3.058,18.42
105000,1,6881280000,3.105386,1.49e-04,3.057,18.42
105100,1,6887833600,2.975116,1.49e-04,3.349,18.42
105200,1,6894387200,2.703324,1.48e-04,3.057,18.42
105300,1,6900940800,2.699207,1.48e-04,3.057,18.42
105400,1,6907494400,2.809599,1.48e-04,3.058,18.42
105500,1,6914048000,2.737988,1.48e-04,3.057,18.42
105600,1,6920601600,2.945554,1.47e-04,3.058,18.42
105700,1,6927155200,2.833993,1.47e-04,3.055,18.42
105800,1,6933708800,2.315430,1.47e-04,3.056,18.42
105900,1,6940262400,2.857360,1.47e-04,3.056,18.42
106000,1,6946816000,2.285511,1.46e-04,3.059,18.42
106100,1,6953369600,2.850941,1.46e-04,3.057,18.42
106200,1,6959923200,2.650084,1.46e-04,3.057,18.42
106300,1,6966476800,2.960950,1.46e-04,3.056,18.42
106400,1,6973030400,2.842604,1.46e-04,3.059,18.42
106500,1,6979584000,3.055167,1.45e-04,3.058,18.42
106600,1,6986137600,2.556724,1.45e-04,3.058,18.42
106700,1,6992691200,2.808524,1.45e-04,3.057,18.42
106800,1,6999244800,3.031534,1.45e-04,3.059,18.42
106900,1,7005798400,3.193689,1.44e-04,3.058,18.42
107000,1,7012352000,2.807051,1.44e-04,3.057,18.42
107100,1,7018905600,2.448476,1.44e-04,3.056,18.42
107200,1,7025459200,3.025476,1.44e-04,3.056,18.42
107300,1,7032012800,2.524940,1.43e-04,3.055,18.42
107400,1,7038566400,2.878453,1.43e-04,3.055,18.42
107500,1,7045120000,2.742639,1.43e-04,3.058,18.42
107600,1,7051673600,2.543801,1.43e-04,3.058,18.42
107700,1,7058227200,2.817292,1.43e-04,3.058,18.42
107800,1,7064780800,3.351264,1.42e-04,3.057,18.42
107900,1,7071334400,2.761311,1.42e-04,3.056,18.42
108000,1,7077888000,2.697084,1.42e-04,3.055,18.42
108100,1,7084441600,3.041973,1.42e-04,3.055,18.42
108200,1,7090995200,2.849173,1.41e-04,3.055,18.42
108300,1,7097548800,2.723666,1.41e-04,3.055,18.42
108400,1,7104102400,2.751908,1.41e-04,3.055,18.42
108500,1,7110656000,3.112437,1.41e-04,3.055,18.42
108600,1,7117209600,3.255368,1.40e-04,3.055,18.42
108700,1,7123763200,3.012185,1.40e-04,3.055,18.42
108800,1,7130316800,2.505060,1.40e-04,3.055,18.42
108900,1,7136870400,2.899813,1.40e-04,3.055,18.42
109000,1,7143424000,2.675653,1.40e-04,3.055,18.42
109100,1,7149977600,2.990664,1.39e-04,3.082,18.42
109200,1,7156531200,3.110492,1.39e-04,3.056,18.42
109300,1,7163084800,3.253097,1.39e-04,3.055,18.42
109400,1,7169638400,3.797377,1.39e-04,3.055,18.42
109500,1,7176192000,2.764753,1.38e-04,3.055,18.42
109600,1,7182745600,2.598567,1.38e-04,3.055,18.42
109700,1,7189299200,2.624486,1.38e-04,3.054,18.42
109800,1,7195852800,3.515267,1.38e-04,3.055,18.42
109900,1,7202406400,3.040044,1.38e-04,3.056,18.42
110000,1,7208960000,2.591818,1.37e-04,3.055,18.42
110100,1,7215513600,3.124303,1.37e-04,3.487,18.42
110200,1,7222067200,2.852886,1.37e-04,3.057,18.42
110300,1,7228620800,2.736484,1.37e-04,3.057,18.42
110400,1,7235174400,2.924546,1.36e-04,3.056,18.42
110500,1,7241728000,2.259428,1.36e-04,3.057,18.42
110600,1,7248281600,3.181947,1.36e-04,3.057,18.42
110700,1,7254835200,2.700540,1.36e-04,3.058,18.42
110800,1,7261388800,2.989702,1.35e-04,3.057,18.42
110900,1,7267942400,2.956998,1.35e-04,3.057,18.42
111000,1,7274496000,2.949730,1.35e-04,3.056,18.42
111100,1,7281049600,2.613836,1.35e-04,3.057,18.42
111200,1,7287603200,2.666973,1.35e-04,3.055,18.42
111300,1,7294156800,3.491565,1.34e-04,3.056,18.42
111400,1,7300710400,3.101049,1.34e-04,3.055,18.42
111500,1,7307264000,2.963265,1.34e-04,3.058,18.42
111600,1,7313817600,3.731091,1.34e-04,3.057,18.42
111700,1,7320371200,2.797863,1.33e-04,3.056,18.42
111800,1,7326924800,2.835568,1.33e-04,3.056,18.42
111900,1,7333478400,2.538692,1.33e-04,3.057,18.42
112000,1,7340032000,3.596138,1.33e-04,3.055,18.42
112100,1,7346585600,2.976203,1.32e-04,3.055,18.42
112200,1,7353139200,2.824181,1.32e-04,3.058,18.42
112300,1,7359692800,3.248570,1.32e-04,3.057,18.42
112400,1,7366246400,2.931464,1.32e-04,3.056,18.42
112500,1,7372800000,4.423237,1.32e-04,3.058,18.42
112600,1,7379353600,3.150947,1.31e-04,3.058,18.42
112700,1,7385907200,2.876325,1.31e-04,3.058,18.42
112800,1,7392460800,2.613539,1.31e-04,3.058,18.42
112900,1,7399014400,2.555037,1.31e-04,3.057,18.42
113000,1,7405568000,2.966804,1.30e-04,3.058,18.42
113100,1,7412121600,3.231678,1.30e-04,3.055,18.42
113200,1,7418675200,2.965815,1.30e-04,3.055,18.42
113300,1,7425228800,3.120574,1.30e-04,3.054,18.42
113400,1,7431782400,2.919768,1.30e-04,3.055,18.42
113500,1,7438336000,3.091908,1.29e-04,3.056,18.42
113600,1,7444889600,2.754675,1.29e-04,3.057,18.42
113700,1,7451443200,3.217894,1.29e-04,3.057,18.42
113800,1,7457996800,2.899390,1.29e-04,3.057,18.42
113900,1,7464550400,2.637764,1.28e-04,3.054,18.42
114000,1,7471104000,3.189997,1.28e-04,3.054,18.42
114100,1,7477657600,3.155279,1.28e-04,3.054,18.42
114200,1,7484211200,2.437050,1.28e-04,3.056,18.42
114300,1,7490764800,2.844725,1.27e-04,3.055,18.42
114400,1,7497318400,2.781260,1.27e-04,3.056,18.42
114500,1,7503872000,2.651994,1.27e-04,3.055,18.42
114600,1,7510425600,3.027162,1.27e-04,3.055,18.42
114700,1,7516979200,2.633305,1.27e-04,3.056,18.42
114800,1,7523532800,3.347522,1.26e-04,3.057,18.42
114900,1,7530086400,2.725099,1.26e-04,3.056,18.42
115000,1,7536640000,2.824639,1.26e-04,3.058,18.42
115100,1,7543193600,2.626257,1.26e-04,3.416,18.42
115200,1,7549747200,2.996884,1.25e-04,3.055,18.42
115300,1,7556300800,3.085966,1.25e-04,3.055,18.42
115400,1,7562854400,2.720234,1.25e-04,3.057,18.42
115500,1,7569408000,3.130999,1.25e-04,3.056,18.42
115600,1,7575961600,2.871972,1.25e-04,3.057,18.42
115700,1,7582515200,3.035382,1.24e-04,3.056,18.42
115800,1,7589068800,2.464609,1.24e-04,3.055,18.42
115900,1,7595622400,2.950926,1.24e-04,3.056,18.42
116000,1,7602176000,3.114238,1.24e-04,3.055,18.42
116100,1,7608729600,2.692968,1.23e-04,3.057,18.42
116200,1,7615283200,2.883690,1.23e-04,3.057,18.42
116300,1,7621836800,3.414375,1.23e-04,3.058,18.42
116400,1,7628390400,3.745454,1.23e-04,3.057,18.42
116500,1,7634944000,2.891040,1.22e-04,3.057,18.42
116600,1,7641497600,2.660122,1.22e-04,3.057,18.42
116700,1,7648051200,2.639685,1.22e-04,3.057,18.42
116800,1,7654604800,3.221728,1.22e-04,3.057,18.42
116900,1,7661158400,2.985733,1.22e-04,3.058,18.42
117000,1,7667712000,3.016543,1.21e-04,3.057,18.42
117100,1,7674265600,2.755403,1.21e-04,3.058,18.42
117200,1,7680819200,2.850809,1.21e-04,3.057,18.42
117300,1,7687372800,2.829840,1.21e-04,3.057,18.42
117400,1,7693926400,2.621660,1.20e-04,3.057,18.42
117500,1,7700480000,2.643812,1.20e-04,3.056,18.42
117600,1,7707033600,3.255387,1.20e-04,3.057,18.42
117700,1,7713587200,2.826004,1.20e-04,3.057,18.42
117800,1,7720140800,2.918619,1.20e-04,3.057,18.42
117900,1,7726694400,2.952935,1.19e-04,3.057,18.42
118000,1,7733248000,2.970628,1.19e-04,3.057,18.42
118100,1,7739801600,3.168579,1.19e-04,3.059,18.42
118200,1,7746355200,2.883637,1.19e-04,3.055,18.42
118300,1,7752908800,2.619528,1.18e-04,3.055,18.42
118400,1,7759462400,2.948193,1.18e-04,3.071,18.42
118500,1,7766016000,2.611772,1.18e-04,3.057,18.42
118600,1,7772569600,3.005441,1.18e-04,3.050,18.42
118700,1,7779123200,2.626981,1.18e-04,3.050,18.42
118800,1,7785676800,2.662180,1.17e-04,3.051,18.42
118900,1,7792230400,3.229648,1.17e-04,3.054,18.42
119000,1,7798784000,3.189898,1.17e-04,3.050,18.42
119100,1,7805337600,2.665245,1.17e-04,3.050,18.42
119200,1,7811891200,2.901411,1.16e-04,3.050,18.42
119300,1,7818444800,3.866122,1.16e-04,3.051,18.42
119400,1,7824998400,3.064578,1.16e-04,3.050,18.42
119500,1,7831552000,2.557096,1.16e-04,3.050,18.42
119600,1,7838105600,3.197393,1.15e-04,3.050,18.42
119700,1,7844659200,2.756593,1.15e-04,3.050,18.42
119800,1,7851212800,2.521603,1.15e-04,3.050,18.42
119900,1,7857766400,2.767037,1.15e-04,3.049,18.42
120000,1,7864320000,2.333292,1.15e-04,3.050,18.42
120100,1,7870873600,3.168384,1.14e-04,3.309,18.42
120200,1,7877427200,3.499966,1.14e-04,3.050,18.42
120300,1,7883980800,2.487840,1.14e-04,3.050,18.42
120400,1,7890534400,2.717677,1.14e-04,3.051,18.42
120500,1,7897088000,3.228882,1.13e-04,3.050,18.42
120600,1,7903641600,2.933366,1.13e-04,3.049,18.42
120700,1,7910195200,2.560978,1.13e-04,3.050,18.42
120800,1,7916748800,2.826198,1.13e-04,3.108,18.42
120900,1,7923302400,2.880040,1.13e-04,3.101,18.42
121000,1,7929856000,2.750790,1.12e-04,3.097,18.42
121100,1,7936409600,3.143208,1.12e-04,3.066,18.42
121200,1,7942963200,2.793963,1.12e-04,3.068,18.42
121300,1,7949516800,2.617758,1.12e-04,3.068,18.42
121400,1,7956070400,3.376151,1.11e-04,3.067,18.42
121500,1,7962624000,3.357068,1.11e-04,3.067,18.42
121600,1,7969177600,3.108076,1.11e-04,3.067,18.42
121700,1,7975731200,2.639007,1.11e-04,3.068,18.42
121800,1,7982284800,2.843382,1.11e-04,3.067,18.42
121900,1,7988838400,2.892847,1.10e-04,3.067,18.42
122000,1,7995392000,3.079233,1.10e-04,3.068,18.42
122100,1,8001945600,3.172884,1.10e-04,3.068,18.42
122200,1,8008499200,2.631954,1.10e-04,3.066,18.42
122300,1,8015052800,2.554426,1.09e-04,3.069,18.42
122400,1,8021606400,2.627082,1.09e-04,3.069,18.42
122500,1,8028160000,2.918515,1.09e-04,3.069,18.42
122600,1,8034713600,3.133973,1.09e-04,3.067,18.42
122700,1,8041267200,2.843204,1.09e-04,3.067,18.42
122800,1,8047820800,3.102697,1.08e-04,3.068,18.42
122900,1,8054374400,2.815883,1.08e-04,3.069,18.42
123000,1,8060928000,3.012638,1.08e-04,3.068,18.42
123100,1,8067481600,2.753605,1.08e-04,3.068,18.42
123200,1,8074035200,2.580099,1.07e-04,3.069,18.42
123300,1,8080588800,3.131707,1.07e-04,3.069,18.42
123400,1,8087142400,3.316831,1.07e-04,3.067,18.42
123500,1,8093696000,3.025406,1.07e-04,3.068,18.42
123600,1,8100249600,2.626421,1.07e-04,3.069,18.42
123700,1,8106803200,2.735454,1.06e-04,3.069,18.42
123800,1,8113356800,3.229134,1.06e-04,3.068,18.42
123900,1,8119910400,3.494783,1.06e-04,3.068,18.42
124000,1,8126464000,3.080043,1.06e-04,3.067,18.42
124100,1,8133017600,2.696648,1.06e-04,3.068,18.42
124200,1,8139571200,2.792573,1.05e-04,3.090,18.42
124300,1,8146124800,2.758612,1.05e-04,3.085,18.42
124400,1,8152678400,3.164844,1.05e-04,3.085,18.42
124500,1,8159232000,2.869678,1.05e-04,3.085,18.42
124600,1,8165785600,2.710261,1.04e-04,3.084,18.42
124700,1,8172339200,2.880184,1.04e-04,3.085,18.42
124800,1,8178892800,3.141054,1.04e-04,3.085,18.42
124900,1,8185446400,2.561867,1.04e-04,3.086,18.42
125000,1,8192000000,3.208288,1.04e-04,3.085,18.42
125100,1,8198553600,3.073049,1.03e-04,3.374,18.42
125200,1,8205107200,3.213891,1.03e-04,3.085,18.42
125300,1,8211660800,3.219542,1.03e-04,3.085,18.42
125400,1,8218214400,2.914149,1.03e-04,3.084,18.42
125500,1,8224768000,2.902786,1.02e-04,3.070,18.42
125600,1,8231321600,3.133280,1.02e-04,3.071,18.42
125700,1,8237875200,3.563477,1.02e-04,3.069,18.42
125800,1,8244428800,2.412508,1.02e-04,3.070,18.42
125900,1,8250982400,2.682166,1.02e-04,3.072,18.42
126000,1,8257536000,2.348396,1.01e-04,3.070,18.42
126100,1,8264089600,2.858522,1.01e-04,3.071,18.42
126200,1,8270643200,3.017590,1.01e-04,3.069,18.42
126300,1,8277196800,2.823696,1.01e-04,3.071,18.42
126400,1,8283750400,2.664219,1.00e-04,3.070,18.42
126500,1,8290304000,2.778440,1.00e-04,3.070,18.42
126600,1,8296857600,2.560350,1.00e-04,3.069,18.42
126700,1,8303411200,2.773031,9.98e-05,3.070,18.42
126800,1,8309964800,2.771914,9.96e-05,3.071,18.42
126900,1,8316518400,3.306509,9.94e-05,3.070,18.42
127000,1,8323072000,2.980261,9.92e-05,3.071,18.42
127100,1,8329625600,2.652019,9.90e-05,3.071,18.42
127200,1,8336179200,2.814273,9.88e-05,3.072,18.42
127300,1,8342732800,2.835919,9.85e-05,3.071,18.42
127400,1,8349286400,2.716915,9.83e-05,3.070,18.42
127500,1,8355840000,3.207784,9.81e-05,3.070,18.42
127600,1,8362393600,3.156625,9.79e-05,3.070,18.42
127700,1,8368947200,2.933574,9.77e-05,3.071,18.42
127800,1,8375500800,2.737816,9.75e-05,3.070,18.42
127900,1,8382054400,2.844676,9.73e-05,3.071,18.42
128000,1,8388608000,3.481271,9.70e-05,3.069,18.42
128100,1,8395161600,3.092086,9.68e-05,3.070,18.42
128200,1,8401715200,2.739205,9.66e-05,3.070,18.42
128300,1,8408268800,2.909465,9.64e-05,3.070,18.42
128400,1,8414822400,2.990206,9.62e-05,3.070,18.42
128500,1,8421376000,3.339674,9.60e-05,3.069,18.42
128600,1,8427929600,3.146725,9.57e-05,3.071,18.42
128700,1,8434483200,2.687376,9.55e-05,3.070,18.42
128800,1,8441036800,2.943213,9.53e-05,3.069,18.42
128900,1,8447590400,2.556186,9.51e-05,3.070,18.42
129000,1,8454144000,2.822331,9.49e-05,3.070,18.42
129100,1,8460697600,2.700072,9.47e-05,3.070,18.42
129200,1,8467251200,3.756087,9.45e-05,3.070,18.42
129300,1,8473804800,2.544977,9.42e-05,3.068,18.42
129400,1,8480358400,2.688052,9.40e-05,3.069,18.42
129500,1,8486912000,2.770251,9.38e-05,3.069,18.42
129600,1,8493465600,2.857021,9.36e-05,3.070,18.42
129700,1,8500019200,2.569954,9.34e-05,3.070,18.42
129800,1,8506572800,3.836978,9.32e-05,3.070,18.42
