step,epoch,tokens_seen,loss,learning_rate,time_per_step,gpu_memory_gb
100,1,6553600,5.580613,1.50e-05,3.150,18.42
200,1,13107200,5.955003,3.00e-05,3.067,18.42
300,1,19660800,5.306330,4.50e-05,3.058,18.42
400,1,26214400,4.619390,6.00e-05,3.058,18.42
500,1,32768000,4.232341,7.50e-05,3.058,18.42
600,1,39321600,4.809097,9.00e-05,3.058,18.42
700,1,45875200,5.074968,1.05e-04,3.058,18.42
800,1,52428800,3.849731,1.20e-04,3.058,18.42
900,1,58982400,4.081480,1.35e-04,3.058,18.42
1000,1,65536000,3.729969,1.50e-04,3.058,18.42
1100,1,72089600,4.149794,1.65e-04,3.058,18.42
1200,1,78643200,3.718115,1.80e-04,3.057,18.42
1300,1,85196800,3.903134,1.95e-04,3.058,18.42
1400,1,91750400,4.007023,2.10e-04,3.058,18.42
1500,1,98304000,5.587895,2.25e-04,3.058,18.42
1600,1,104857600,4.490389,2.40e-04,3.058,18.42
1700,1,111411200,4.380367,2.55e-04,3.058,18.42
1800,1,117964800,4.414317,2.70e-04,3.058,18.42
1900,1,124518400,3.864539,2.85e-04,3.057,18.42
2000,1,131072000,3.661531,3.00e-04,3.058,18.42
2100,1,137625600,3.897202,3.00e-04,3.058,18.42
2200,1,144179200,3.890607,3.00e-04,3.058,18.42
2300,1,150732800,4.037224,3.00e-04,3.058,18.42
2400,1,157286400,4.442092,3.00e-04,3.058,18.42
2500,1,163840000,3.621256,3.00e-04,3.058,18.42
2600,1,170393600,3.611161,3.00e-04,3.058,18.42
2700,1,176947200,3.853399,3.00e-04,3.058,18.42
2800,1,183500800,3.383048,3.00e-04,3.058,18.42
2900,1,190054400,4.135045,3.00e-04,3.058,18.42
3000,1,196608000,3.794679,3.00e-04,3.058,18.42
3100,1,203161600,5.033401,3.00e-04,3.058,18.42
3200,1,209715200,3.672337,3.00e-04,3.058,18.42
3300,1,216268800,3.844931,3.00e-04,3.058,18.42
3400,1,222822400,3.602696,3.00e-04,3.058,18.42
3500,1,229376000,3.802640,3.00e-04,3.058,18.42
3600,1,235929600,3.391615,3.00e-04,3.058,18.42
3700,1,242483200,3.401772,3.00e-04,3.058,18.42
3800,1,249036800,4.027361,3.00e-04,3.082,18.42
